timestamp -- motor_step_command,mfc1_stpt,mfc2_stpt,mfc3_stpt,led1_stpt,led2_stpt,sig_status,ft_posx,ft_posy,ft_frame,ft_error,ft_roll,ft_pitch,ft_yaw,ft_heading,adapted_center,instrip,mode,strip_thresh
03/21/2024-15:16:02.268714 -- 800158,0.02,0.0,0.0,1.0,0.0,0,-13.795037161743299,5.7679181817234,124,9781.0901717557,0.049515735410684,-0.027122605636127,0.011262398490113,5.0347559164734,nan,False,live,nan
03/21/2024-15:16:02.303240 -- 800187,0.02,0.0,0.0,1.0,0.0,0,-14.1594982442334,5.575325301891899,126,9268.2636407533,0.046293695234968,-0.058584345232642,0.090135496999759,4.8087754680736,nan,False,live,nan
03/21/2024-15:16:02.334156 -- 800209,0.02,0.0,0.0,1.0,0.0,0,-14.000024695266001,5.2282479495858,128,9181.2386523163,-0.031517186235589,-0.050173354142663,0.07118178380787,4.636657784585,nan,False,live,nan
03/21/2024-15:16:02.368544 -- 800225,0.02,0.0,0.0,1.0,0.0,0,-14.0857378258524,4.7436835846335,130,8818.8453271028,0.021315097435085,-0.084139059998921,0.043484426929741,4.5147769185743,nan,False,live,nan
03/21/2024-15:16:02.401069 -- 800226,0.02,0.0,0.0,1.0,0.0,0,-13.938378679576502,4.713519993374399,132,9229.9499776686,0.0056605605244034,-0.018572699574714,-0.024458805195947,4.5033507407814,nan,False,live,nan
03/21/2024-15:16:02.434971 -- 800215,0.02,0.0,0.0,1.0,0.0,0,-13.2798005321964,4.6446166003283995,134,9389.751419834,-0.091542119205558,-0.033104326248839,-0.050173189314358,4.5886837536967,nan,False,live,nan
03/21/2024-15:16:02.465895 -- 800216,0.02,0.0,0.0,1.0,0.0,0,-12.908422425830999,4.9324383149838,136,9751.9729847495,-0.06550230602322,0.037751503366089,0.027226556938464,4.5808647236296,nan,False,live,nan
03/21/2024-15:16:02.486284 -- 800217,0.02,0.0,0.0,1.0,0.0,0,-12.7172975920389,4.6712108663745,137,9687.404273877,-0.051419355476963,-0.094852694188824,0.0067362511035177,4.5741284725261,nan,False,live,nan
03/21/2024-15:16:02.518137 -- 800217,0.02,0.0,0.0,1.0,0.0,0,-12.582037873309801,4.762348355223001,139,9452.7287396424,-0.0079284395949387,-0.013353680196962,-0.041624521421278,4.5777537334891,nan,False,live,nan
03/21/2024-15:16:02.556288 -- 800214,0.02,0.0,0.0,1.0,0.0,0,-12.5878174268403,4.7853479259945,141,9310.6535947712,0.0079641178119633,0.0089953842760474,-0.015018285164237,4.6007337159518,nan,False,live,nan
03/21/2024-15:16:02.586457 -- 800212,0.02,0.0,0.0,1.0,0.0,0,-12.514906521113101,4.8704229424209,143,9347.134204793,-0.034188960851892,0.020847744745697,0.00031113958294623,4.6163768562903,nan,False,live,nan
03/21/2024-15:16:02.619888 -- 800211,0.02,0.0,0.0,1.0,0.0,0,-12.514596685051501,4.883132096262299,145,9324.379956427,0.016668182543797,-0.0035132738724195,-0.0049588923945111,4.6208940254255,nan,False,live,nan
03/21/2024-15:16:02.653587 -- 800212,0.02,0.0,0.0,1.0,0.0,0,-12.499160520130498,4.8577495283181005,147,8883.6406794425,-0.0012578131104457,-0.0032894448663568,0.0042906548659849,4.6111957896671,nan,False,live,nan
03/21/2024-15:16:02.687585 -- 800213,0.02,0.0,0.0,1.0,0.0,0,-12.498065205420001,4.83882253203,149,8698.4734320557,-0.010954642392354,0.0041905510697484,0.0090439850207724,4.6080876896453,nan,False,live,nan
03/21/2024-15:16:02.719680 -- 800213,0.02,0.0,0.0,1.0,0.0,0,-12.478844378279401,4.8122291880666,151,9051.7722125436,-0.0029721652415138,0.0026851540056383,-0.0079646704446559,4.6095529582124,nan,False,live,nan
03/21/2024-15:16:02.753804 -- 800212,0.02,0.0,0.0,1.0,0.0,0,-12.4995746988435,4.820744033199301,153,8581.5387630662,0.00085272991282302,-0.00070353781438311,-0.0011001458702794,4.6110142207982,nan,False,live,nan
03/21/2024-15:16:02.786010 -- 800212,0.02,0.0,0.0,1.0,0.0,0,-12.4901670452847,4.7984419473438,155,8500.5117595819,0.0042701685075931,-0.0057518064722594,0.0024086628282588,4.6143260463123,nan,False,live,nan
03/21/2024-15:16:02.819214 -- 800211,0.02,0.0,0.0,1.0,0.0,0,-12.474934858293299,4.8205531341015,157,8668.8305749129,-0.0029778829858708,0.00028618684163526,-0.010724055620447,4.6206596179891,nan,False,live,nan
03/21/2024-15:16:02.852523 -- 800212,0.02,0.0,0.0,1.0,0.0,0,-12.4689890247456,4.8192337633425,159,8099.8767421603,-0.0046512622291024,0.004044079518969,-0.0012816392047158,4.6159176833964,nan,False,live,nan
03/21/2024-15:16:02.885137 -- 800212,0.02,0.0,0.0,1.0,0.0,0,-12.479878783506898,4.8186029265282,161,7897.3802264808,-0.003403439812433,-0.0026137724895532,0.0027410817008547,4.6180660154454,nan,False,live,nan
03/21/2024-15:16:02.921013 -- 800212,0.02,0.0,0.0,1.0,0.0,0,-12.478692683277,4.8190016970897,163,8130.6088850174,-0.00022949832907833,0.00062568224145659,0.00061551882181867,4.6169586362277,nan,False,live,nan
03/21/2024-15:16:02.953557 -- 800211,0.02,0.0,0.0,1.0,0.0,0,-12.4794313316841,4.8184560735603,165,7816.3196864111,0.00054607814254998,1.2697629645148e-05,-0.002008931691883,4.6186315194379,nan,False,live,nan
03/21/2024-15:16:02.986532 -- 800211,0.02,0.0,0.0,1.0,0.0,0,-12.482281062541201,4.8218072648004,167,7281.6206445993,0.00042319023340171,0.00056873453141424,-0.00072587198220203,4.6199670703085,nan,False,live,nan
03/21/2024-15:16:03.018669 -- 800212,0.02,0.0,0.0,1.0,0.0,0,-12.472807668275701,4.8186320828667,169,7329.68771777,-0.0019319182191283,-0.00078365954973441,0.00031700203536064,4.6172566566887,nan,False,live,nan
03/21/2024-15:16:03.054059 -- 800212,0.02,0.0,0.0,1.0,0.0,0,-12.4712454484716,4.8173497846587,171,7311.6149825784,0.00012540068800245,-8.2610937350147e-06,-5.4821305608776e-06,4.6171076599347,nan,False,live,nan
03/21/2024-15:16:03.086926 -- 800212,0.02,0.0,0.0,1.0,0.0,0,-12.480675699558901,4.8212806100832,173,7640.1040940767,0.0029646718060108,0.0016596220700433,-0.0005095721624944,4.6176033284135,nan,False,live,nan
03/21/2024-15:16:03.119061 -- 800225,0.02,0.0,0.0,1.0,0.0,0,-12.325461073337099,4.2981380256707995,175,8595.7558849172,-0.0032411732492462,-0.053346080076984,0.084412433700511,4.5126339745185,nan,False,live,nan
03/21/2024-15:16:03.152797 -- 800264,0.02,0.0,0.0,1.0,0.0,0,-12.3670946700438,3.9511438388922,177,9039.7174205105,-0.011291726320434,-0.047449911768144,0.15618919580913,4.2027788042637,nan,False,live,nan
03/21/2024-15:16:03.184266 -- 800300,0.02,0.0,0.0,1.0,0.0,0,-11.902455171523501,3.4094353791255,179,8925.1918063315,-0.0037237411261793,-0.1175019405491,0.17000375027786,3.8850593355233,nan,False,live,nan
03/21/2024-15:16:03.216772 -- 800300,0.02,0.0,0.0,1.0,0.0,0,-11.7788899508871,3.5168684475161998,181,9967.2651550208,-0.022934165220659,-0.00032102926299856,0.029083678208983,3.7702410698931,nan,False,live,nan
03/21/2024-15:16:03.251751 -- 800300,0.02,0.0,0.0,1.0,0.0,0,-11.5878322517658,3.3211936644869997,183,9127.4759786477,0.0087772387105009,-0.032885101085506,-0.0269859312135,3.7509047622489,nan,False,live,nan
03/21/2024-15:16:03.284638 -- 800300,0.02,0.0,0.0,1.0,0.0,0,-11.201496886105499,3.0980022386097,185,9747.8885953325,0.0099601909324599,-0.096816269956783,0.077924361447817,3.6501838390546,nan,False,live,nan
03/21/2024-15:16:03.319073 -- 800300,0.02,0.0,0.0,1.0,0.0,0,-10.992679749790799,3.2563025793108,187,10313.96327066,-0.04037976239637,-0.03236763092141,0.12082801216471,3.4840151051243,nan,False,live,nan
03/21/2024-15:16:03.352009 -- 800300,0.02,0.0,0.0,1.0,0.0,0,-10.74128655567,3.3446225567976,189,10756.130910683,-0.039286059444832,-0.025440337439503,0.056153389008432,3.4030249386559,nan,False,live,nan
03/21/2024-15:16:03.385854 -- 800300,0.02,0.0,0.0,1.0,0.0,0,-10.221991303549501,3.3700633800453,191,11566.512685914,0.027455354825717,-0.076869410275658,0.073856717621338,3.2024388203855,nan,False,live,nan
03/21/2024-15:16:03.418112 -- 800500,0.02,0.0,0.0,1.0,0.0,0,-9.8124983936175,3.3104883499104,193,12622.055410122,0.01562072363906,-0.075812626906029,0.11312533440859,2.9586923253737,nan,False,live,nan
03/21/2024-15:16:03.451641 -- 800500,0.02,0.0,0.0,1.0,0.0,0,-9.4125363867135,3.4506496543764005,195,12783.246402093,-0.016550034737433,-0.064076620183984,0.090754336354829,2.8041992343702,nan,False,live,nan
03/21/2024-15:16:03.486073 -- 800500,0.02,0.0,0.0,1.0,0.0,0,-9.1951568208054,3.6507800559675,197,15018.535340314,-0.0039969375657425,-0.035545745347257,0.082802161692922,2.6416092974556,nan,False,live,nan
03/21/2024-15:16:03.517874 -- 800500,0.02,0.0,0.0,1.0,0.0,0,-8.519366494563899,3.6338434128447,199,10687.475152572,0.1216464678606,-0.072437096615411,0.10217462363948,2.4475402128526,nan,False,live,nan
03/21/2024-15:16:03.552561 -- 800522,0.02,0.0,0.0,1.0,0.0,0,-7.7759804884671,3.6901326112490995,201,10215.919790759,0.080945021530125,-0.079746111038654,0.13651995584689,2.1825604686639,nan,False,live,nan
03/21/2024-15:16:03.584251 -- 800538,0.02,0.0,0.0,1.0,0.0,0,-7.298425747085401,3.6010210950504002,203,9352.1080139373,0.074410816662019,-0.026209489044894,0.092915566905086,2.0568148129424,nan,False,live,nan
03/21/2024-15:16:03.604305 -- 800543,0.02,0.0,0.0,1.0,0.0,0,-7.1185034454566996,3.6860193808566,204,9298.8222996516,0.040847129881197,-0.052265635505226,0.039874084867395,2.016940728075,nan,False,live,nan
03/21/2024-15:16:03.634030 -- 800546,0.02,0.0,0.0,1.0,0.0,0,-6.935097424566301,3.6115497458013,206,8717.4668989547,0.039785413864643,-0.0066387783137116,0.027446991968865,1.9937960481265,nan,False,live,nan
03/21/2024-15:16:03.654283 -- 800547,0.02,0.0,0.0,1.0,0.0,0,-6.943566214307101,3.6930904635114,207,8520.9207317073,-0.013648788639209,-0.023673778028189,0.0070007170022271,1.9867953311243,nan,False,live,nan
03/21/2024-15:16:03.687226 -- 800543,0.02,0.0,0.0,1.0,0.0,0,-6.438219577520099,3.6390595995492,209,7505.8959059233,0.12217105871492,-0.040309642641043,0.0025681006181173,2.0160353211215,nan,False,live,nan
03/21/2024-15:16:03.719225 -- 800533,0.02,0.0,0.0,1.0,0.0,0,-6.055458497096099,3.5398831560795,211,7175.9425087108,0.0411684427412,0.0057060351486904,-0.026863440142566,2.0892888964692,nan,False,live,nan
03/21/2024-15:16:03.752320 -- 800528,0.02,0.0,0.0,1.0,0.0,0,-5.4841578050652,3.1679599916919,213,7122.7635017422,0.11951814590177,-0.015157697850431,-0.017768301986273,2.1346344421938,nan,False,live,nan
03/21/2024-15:16:03.785967 -- 800530,0.02,0.0,0.0,1.0,0.0,0,-5.0558284625550005,3.0363177139029,215,7864.7863993025,0.073453611114566,0.0072538905062527,-0.016687906932274,2.1135879771393,nan,False,live,nan
03/21/2024-15:16:03.818385 -- 800533,0.02,0.0,0.0,1.0,0.0,0,-4.4846284972728,2.76787787319279,217,8004.9233449477,0.089626855841484,-0.033047596607836,-0.006274181016046,2.0941949779531,nan,False,live,nan
